strategy,model,bench,dataset,task,calls_count_after_dedup,duration_s_total,prompt_tokens_total,completion_tokens_total
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs2_4,41,630.7250866889954,297123,50660
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_0,10,235.18216514587402,39921,8273
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_3,29,550.4944589138031,99474,29785
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_0,55,794.5128576755524,221089,64001
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_0,25,596.1507132053375,274343,33502
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_1,34,489.06563901901245,124534,31363
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_2,39,563.3360476493835,194412,45174
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_1,1,17.988980054855347,3014,743
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res1o_0,40,776.2918629646301,445675,63622
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1if_1,39,622.8721511363983,192897,47929
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3if_2,47,760.9996469020844,303527,55609
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_conda_4,10,240.42485523223877,38163,7584
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_2,12,313.3664608001709,108750,11766
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs3_3,10,236.36128091812134,36879,7427
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_460_4,8,120.56327867507935,32909,8640
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_0,44,688.3531601428986,133619,64450
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s12if_2,56,815.8192436695099,208669,64926
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_8_4,8,177.83520579338074,48505,7334
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_3,57,1034.0585210323334,266573,70037
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5lif_4,54,902.7234613895416,277478,63146
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s12if_3,43,713.5035622119904,238050,54801
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_1,11,162.5903069972992,53125,11896
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1lif_4,39,705.9546363353729,199544,57975
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs3_2,10,245.78390216827393,52912,8777
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3if_3,42,613.1221706867218,213371,46556
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res2o_4,41,654.5757501125336,228745,59628
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_0,10,248.74363160133362,46820,8824
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_3,51,759.6975622177124,249512,60768
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_0,1,18.11532235145569,3066,653
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_70_2,11,169.4320068359375,35581,6639
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_1,10,299.46195888519287,56470,10616
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_1,10,160.91016221046448,41568,16203
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_two_sum_0,10,277.9825496673584,45346,9300
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_conda_1,33,500.14060401916504,139061,38489
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina2_0,49,713.6318101882935,196285,55520
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_460_1,8,155.68561697006226,30315,7590
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms2_2,10,210.55298399925232,31804,6570
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5lif_0,45,679.4340252876282,260787,57128
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_8_0,1,32.33330464363098,3095,660
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_is_prime_3,28,409.9605095386505,84640,22670
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s42if_2,44,631.163966178894,157517,52488
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_4,1,25.88917064666748,3145,788
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_4,10,217.11234211921692,36882,7723
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_804_1,3,47.55881905555725,10743,1648
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res2o_0,53,853.2000861167908,283205,74490
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_240_3,8,107.41807198524475,26352,7739
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_804_0,25,373.5268075466156,78809,22197
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs2_2,10,221.81970977783203,42785,8213
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s42if_3,44,822.8274307250977,622140,61145
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_4,43,813.0768594741821,342266,61997
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_4,47,662.8023993968964,183943,57287
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_460_0,8,163.67930555343628,34419,7765
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_is_prime_2,13,179.06810784339905,42375,10820
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_8_1,6,82.94617509841919,35359,5282
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5lif_1,45,717.1683719158173,305221,62206
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_two_sum_1,10,267.94538044929504,54878,10179
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina2_1,38,709.0238342285156,388196,57640
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_conda_0,40,673.6285262107849,214243,51253
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res1o_4,54,884.9038274288177,365152,69437
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5lif_3,8,108.30230116844177,37458,8476
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_8_3,22,344.02740120887756,140172,20550
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_is_prime_0,35,427.704749584198,178209,32260
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_572_0,33,573.7423510551453,162244,42056
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms2_1,17,269.7077293395996,88527,15640
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_460_2,50,697.2195084095001,262470,49444
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1lif_3,42,585.4425475597382,217588,55727
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s12if_4,29,582.4108233451843,171260,39017
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condm_0,41,579.9935691356659,212406,45350
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_conda_2,49,661.2176637649536,237241,60697
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3if_4,39,588.74258685112,201148,48204
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina2_3,51,813.6817388534546,242301,71610
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_two_sum_3,10,272.46040892601013,46310,9011
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5if_1,50,720.4838922023773,259631,58079
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_4,61,737.2306180000305,236960,65362
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res2o_3,44,732.6849958896637,287978,64597
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_240_1,1,23.311042308807373,4601,907
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_576_1,10,374.4715414047241,52809,10707
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s42if_1,43,609.145015001297,267916,59933
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_70_4,9,162.7663197517395,31429,7762
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_240_0,18,389.6197500228882,74852,16683
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_804_3,15,254.66662979125977,57239,14914
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res2o_2,42,540.867210149765,187625,48355
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs2_1,10,234.04376578330994,37217,7267
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_576_0,10,299.27337670326233,48754,9707
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina2_2,54,710.1833963394165,240081,66666
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_conda_3,52,732.6318266391754,283193,62696
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_is_prime_1,48,476.4313995838165,223359,39655
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_8_2,1,14.964733362197876,3146,584
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5lif_2,44,627.7092416286469,290311,57886
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condm_1,1,21.15777087211609,2876,640
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1lif_2,50,667.4454720020294,215995,60877
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs3_4,10,259.7563192844391,44430,8881
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms2_0,35,512.8295693397522,269434,45607
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_460_3,1,20.604215621948242,3208,651
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_572_1,34,467.94223618507385,135397,37167
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_741_0,15,198.74735236167908,65279,15123
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina5_4,18,324.82148480415344,137713,19708
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_113_0,1,14.77474045753479,2511,541
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_472_2,8,103.81499409675598,22508,7281
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s22if_2,55,620.7992191314697,241623,61762
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_sum_strong_0,8,95.12425661087036,28358,6822
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_230_1,10,226.1593406200409,39582,8352
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_cal_div_1,31,184.31440472602844,82241,20339
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4if_3,29,479.33974027633667,421221,34599
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condg_0,44,571.4644594192505,263698,55479
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_copy_strong_0,1,13.731881141662598,2714,583
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina4_1,15,308.8458716869354,231733,16079
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_476_3,10,281.38864755630493,48799,10328
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_append_strong_2,1,11.436545133590698,2425,525
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_linear_search2_3,8,101.01792216300964,33847,7802
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3lif_0,16,359.4206919670105,85550,14650
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms4_3,10,195.94060564041138,33914,6817
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3lif_1,45,599.9505836963654,243913,62954
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_linear_search2_2,1,9.96867036819458,2398,541
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_798_4,53,515.5963397026062,225892,53233
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms4_2,14,262.1319305896759,72751,12901
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_binary_search_4,24,277.5456545352936,71570,21625
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina4_0,47,701.7935621738434,294138,66801
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_append_strong_3,1,18.77692675590515,2387,440
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_624_4,8,100.20599508285522,26462,7333
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_161_2,13,377.55937004089355,72322,17715
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_cal_div_0,8,62.454461336135864,27137,5068
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_230_0,1,23.161951541900635,3264,674
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_sum_strong_1,1,22.45578098297119,3251,629
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_414_2,9,210.04180884361267,39864,7750
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_769_4,42,767.6148340702057,149091,78180
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_741_1,10,221.55168914794922,35706,7790
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s2lif_4,38,424.82168650627136,121323,49128
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s22if_3,53,574.4059145450592,267652,59058
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_113_1,5,55.76633596420288,14409,5630
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_product_strong_4,1,16.67576789855957,2724,550
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_414_0,10,193.00254106521606,38119,7078
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_sum_strong_3,1,16.480055332183838,2760,550
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs4_1,43,518.7682778835297,177891,52345
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_cal_div_2,14,117.03011703491211,50187,11210
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_230_2,1,18.83438491821289,3227,720
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_113_3,4,36.25447082519531,8321,3677
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_472_1,3,54.738081216812134,9455,2063
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_741_3,1,13.661544799804688,2453,489
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs5_4,49,644.987247467041,284058,60425
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms4_0,43,527.5491309165955,243096,49685
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms1_4,18,242.92478132247925,69595,20014
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_linear_search2_0,1,13.324949026107788,2520,487
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res1_4,50,684.0807812213898,382609,63367
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_476_0,34,453.04465913772583,143036,39328
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_161_0,44,665.8083167076111,141226,71382
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_append_strong_1,1,12.823248147964478,2510,556
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_copy_strong_3,1,13.73109483718872,2380,590
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_append_strong_0,8,94.48514699935913,28097,7304
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_161_1,45,838.9875230789185,244666,77342
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_476_1,17,371.76935029029846,94636,19463
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_copy_strong_2,1,19.081801891326904,2460,581
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina4_3,55,734.7502813339233,294519,71158
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condg_2,49,680.4411251544952,292082,61584
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms4_1,41,465.8461003303528,224037,46804
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3lif_2,38,529.6418597698212,326900,49289
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_linear_search2_1,1,15.680366516113281,2834,571
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condn_4,5,63.621169567108154,29152,4880
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s22if_0,34,512.9262003898621,181006,45837
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_472_0,1,18.092451572418213,3258,629
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_477_4,1,16.861270666122437,3562,694
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_741_2,2,33.98231887817383,5328,1228
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs1_4,50,582.8481307029724,197122,55561
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_414_1,3,49.604230642318726,11796,2246
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4if_1,38,481.1955363750458,166560,45179
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_230_3,1,15.142478942871094,3054,611
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_cal_div_3,1,6.837424993515015,2071,476
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms5_4,10,239.83382177352905,42214,8512
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs4_0,10,232.66178822517395,41125,8178
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_sum_strong_2,5,61.108858585357666,12527,5038
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms1_1,25,368.90558314323425,150710,26892
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condn_0,1,18.52926731109619,3128,668
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_concat_strong_0,1,15.170087814331055,2907,581
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs5_1,46,503.3352656364441,175055,53865
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_binary_search_3,5,56.42873525619507,20894,5265
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina1_3,20,266.3706650733948,106306,21045
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_624_3,11,104.2355260848999,41340,11197
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s2if_0,10,242.83478164672852,35248,7470
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms5_0,10,289.81594944000244,40247,8498
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_769_3,29,637.6022403240204,121926,47672
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_399_0,1,32.696924448013306,3336,725
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_477_0,5,80.51949524879456,18337,5631
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_product_strong_3,1,22.89889693260193,2880,535
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_472_4,3,73.0459656715393,8969,1787
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s2lif_3,40,592.2632329463959,257841,62338
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_477_1,7,104.89598608016968,26262,6763
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s2lif_2,36,550.9568576812744,190861,45433
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina5_3,42,650.275260925293,245364,67484
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_array_product_strong_2,1,19.81272053718567,3068,596
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms5_1,10,224.58034229278564,40583,8536
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s2if_1,17,294.99401021003723,114657,21246
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs1_1,56,627.8945026397705,279846,62294
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_414_4,17,258.2278745174408,57848,14297
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4if_4,32,411.52851939201355,191708,33293
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_399_1,1,18.818564414978027,3233,674
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_769_2,41,790.6603312492371,192921,73713
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_161_4,9,153.8285369873047,36177,8981
