dataset,filename,runtime_seconds,input_tokens_total,output_tokens_total,final_score_first,final_score_second,verified
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_477,3908,594228,60817,0,3,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_554,2361,356093,31958,3,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_557,4388,508976,70643,0,3,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_567,978,192698,12982,0,5,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_572,4512,625157,76967,0,9,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_576,3669,407221,62021,0,7,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_578,1196,160940,20687,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_579,9113,892418,164099,0,20,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_586,2728,463848,42988,0,8,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_588,4989,710845,86368,0,3,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_602,1941,209057,34560,0,9,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_605,472,58910,6625,2,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_610,4605,708716,65266,0,8,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_616,3690,474888,58581,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_618,2335,324685,40047,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_62,3886,743917,48666,0,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_624,1677,231072,25952,2,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_629,2716,539070,35968,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_644,3500,524709,49294,0,9,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_69,2320,293069,41298,0,8,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_70,1750,346409,26478,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_728,1892,304420,31450,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_732,2466,400620,39598,1,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_733,4129,719464,59312,0,4,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_741,1241,175994,18276,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_743,7777,1085774,113864,0,4,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_755,6809,815394,113262,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_760,2247,462243,29136,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_764,1951,327667,31670,0,3,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_769,7854,752972,141317,0,20,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_775,2456,544984,33139,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_790,3214,699181,36892,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_798,3551,696213,47562,0,4,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_8,3522,691159,52888,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_804,2560,549664,31485,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_807,2462,401214,35615,3,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_808,1206,319109,16613,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_809,1437,326736,21725,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_94,921,142840,17178,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_95,3617,648337,50495,0,4,False
